year,origin_hdi_bin,dest_hdi_bin,students
1998,Low,Low,17662
1998,Low,Medium,42240
1998,Low,High,74158
1998,Medium,Low,7491
1998,Medium,Medium,34150
1998,Medium,High,203546
1998,High,Low,341
1998,High,Medium,8184
1998,High,High,46729
1999,Low,Low,36387
1999,Low,Medium,151047
1999,Low,High,306646
1999,Medium,Low,9592
1999,Medium,Medium,122105
1999,Medium,High,406758
1999,High,Low,2741
1999,High,Medium,48102
1999,High,High,152308
2000,Low,Low,49300
2000,Low,Medium,189059
2000,Low,High,159529
2000,Medium,Low,9739
2000,Medium,Medium,101731
2000,Medium,High,218109
2000,High,Low,957
2000,High,Medium,57083
2000,High,High,148309
2001,Low,Low,65641
2001,Low,Medium,100970
2001,Low,High,233357
2001,Medium,Low,12635
2001,Medium,Medium,77714
2001,Medium,High,181595
2001,High,Low,2169
2001,High,Medium,44377
2001,High,High,181607
2002,Low,Low,72653
2002,Low,Medium,109587
2002,Low,High,349045
2002,Medium,Low,15282
2002,Medium,Medium,103459
2002,Medium,High,239280
2002,High,Low,2845
2002,High,Medium,43145
2002,High,High,221578
2003,Low,Low,71663
2003,Low,Medium,149034
2003,Low,High,440565
2003,Medium,Low,14310
2003,Medium,Medium,135266
2003,Medium,High,235373
2003,High,Low,2358
2003,High,Medium,47886
2003,High,High,258188
2004,Low,Low,79405
2004,Low,Medium,120365
2004,Low,High,515249
2004,Medium,Low,19078
2004,Medium,Medium,119597
2004,Medium,High,236199
2004,High,Low,2822
2004,High,Medium,35317
2004,High,High,260176
2005,Low,Low,82977
2005,Low,Medium,102284
2005,Low,High,872543
2005,Medium,Low,21029
2005,Medium,Medium,130356
2005,Medium,High,291967
2005,High,Low,5069
2005,High,Medium,20067
2005,High,High,512177
2006,Low,Low,77302
2006,Low,Medium,116057
2006,Low,High,542995
2006,Medium,Low,18740
2006,Medium,Medium,149425
2006,Medium,High,237516
2006,High,Low,5560
2006,High,Medium,25644
2006,High,High,367411
2007,Low,Low,78209
2007,Low,Medium,129386
2007,Low,High,553919.5
2007,Medium,Low,13387
2007,Medium,Medium,195132
2007,Medium,High,334001
2007,High,Low,918
2007,High,Medium,24901
2007,High,High,392176
2008,Low,Low,84980
2008,Low,Medium,172381
2008,Low,High,585758
2008,Medium,Low,13855
2008,Medium,Medium,217813
2008,Medium,High,344164.33333
2008,High,Low,2208
2008,High,Medium,33964
2008,High,High,411846.91667
2009,Low,Low,69104
2009,Low,Medium,191089
2009,Low,High,656993
2009,Medium,Low,9895
2009,Medium,Medium,211150
2009,Medium,High,385443
2009,High,Low,807
2009,High,Medium,42506
2009,High,High,443727
2010,Low,Low,82280
2010,Low,Medium,136754
2010,Low,High,353879
2010,Medium,Low,14627
2010,Medium,Medium,171441
2010,Medium,High,821094
2010,High,Low,1904
2010,High,Medium,43842
2010,High,High,459351
2011,Low,Low,97350
2011,Low,Medium,217127
2011,Low,High,370835
2011,Medium,Low,18114
2011,Medium,Medium,295811
2011,Medium,High,863621
2011,High,Low,8725
2011,High,Medium,55907
2011,High,High,510470
2012,Low,Low,82913
2012,Low,Medium,207325
2012,Low,High,363480
2012,Medium,Low,17756
2012,Medium,Medium,271503
2012,Medium,High,891318
2012,High,Low,7809
2012,High,Medium,56119
2012,High,High,526042
2013,Low,Low,103369
2013,Low,Medium,136902
2013,Low,High,603475.52104
2013,Medium,Low,27397
2013,Medium,Medium,133855
2013,Medium,High,1363012.0897599994
2013,High,Low,10153
2013,High,Medium,50657
2013,High,High,776664.2672899999
2014,Low,Low,126418
2014,Low,Medium,267338.5
2014,Low,High,699199.4877899999
2014,Medium,Low,32989
2014,Medium,Medium,297358.5
2014,Medium,High,1333806.7974800004
2014,High,Low,11279
2014,High,Medium,68575
2014,High,High,857118.88877
2015,Low,Low,127723
2015,Low,Medium,295323
2015,Low,High,781353.8710999995
2015,Medium,Low,27094
2015,Medium,Medium,363583
2015,Medium,High,1389771.6043300002
2015,High,Low,12674
2015,High,Medium,68686
2015,High,High,945883.8519300002
2016,Low,Low,153813
2016,Low,Medium,328959
2016,Low,High,879964.6517499997
2016,Medium,Low,35471
2016,Medium,Medium,463627
2016,Medium,High,1504680.71131
2016,High,Low,14819
2016,High,Medium,80331
2016,High,High,994881.6932900002
2017,Low,Low,149125
2017,Low,Medium,312132
2017,Low,High,895674.6008799999
2017,Medium,Low,30588
2017,Medium,Medium,465109
2017,Medium,High,1593328.5598199998
2017,High,Low,14530
2017,High,Medium,95196
2017,High,High,1013738.5161800002
